epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,135.151,0.28443,0.92576,1,0.2031,0.000554858,0.000554858,0.000554858
2,267.174,0.25852,0.94323,1,0.17339,0.00110503,0.00110503,0.00110503
3,400.225,0.23838,0.94178,1,0.20231,0.0016497,0.0016497,0.0016497
4,533.519,0.24619,0.94032,1,0.1523,0.00164225,0.00164225,0.00164225
5,667.427,0.2238,0.95779,1,0.10417,0.00163399,0.00163399,0.00163399
6,801.359,0.2023,0.93159,1,0.22353,0.00162574,0.00162574,0.00162574
7,935.5,0.21084,0.95633,1,0.10957,0.00161749,0.00161749,0.00161749
8,1068.92,0.1893,0.95342,1,0.11363,0.00160924,0.00160924,0.00160924
9,1203.51,0.19122,0.95779,1,0.12563,0.00160099,0.00160099,0.00160099
10,1337.47,0.19255,0.95488,1,0.15256,0.00159274,0.00159274,0.00159274
11,1472.24,0.19907,0.96361,1,0.09417,0.00158448,0.00158448,0.00158448
12,1606.53,0.1729,0.95488,1,0.10818,0.00157623,0.00157623,0.00157623
13,1739.97,0.17611,0.95924,1,0.09568,0.00156798,0.00156798,0.00156798
14,1874.85,0.16229,0.92576,1,0.19614,0.00155973,0.00155973,0.00155973
15,2009.03,0.16401,0.97234,1,0.07229,0.00155148,0.00155148,0.00155148
16,2143.1,0.16418,0.96798,1,0.08159,0.00154323,0.00154323,0.00154323
17,2276.49,0.16407,0.93159,1,0.16841,0.00153497,0.00153497,0.00153497
18,2410.13,0.16291,0.9476,1,0.12266,0.00152672,0.00152672,0.00152672
19,2543.62,0.15154,0.94469,1,0.12641,0.00151847,0.00151847,0.00151847
20,2676.26,0.1378,0.9738,1,0.06414,0.00151022,0.00151022,0.00151022
21,2810.11,0.1451,0.97089,1,0.07101,0.00150197,0.00150197,0.00150197
22,2943.82,0.14246,0.93741,1,0.18842,0.00149372,0.00149372,0.00149372
23,3077.52,0.14677,0.9738,1,0.06165,0.00148546,0.00148546,0.00148546
24,3211.16,0.14582,0.96798,1,0.08794,0.00147721,0.00147721,0.00147721
25,3344.57,0.12675,0.98399,1,0.05358,0.00146896,0.00146896,0.00146896
26,3477.75,0.13315,0.97525,1,0.05751,0.00146071,0.00146071,0.00146071
27,3610.97,0.13909,0.97962,1,0.07481,0.00145246,0.00145246,0.00145246
28,3744.39,0.13109,0.97817,1,0.06075,0.00144421,0.00144421,0.00144421
29,3876.91,0.135,0.96215,1,0.10702,0.00143595,0.00143595,0.00143595
30,4009.9,0.11826,0.97817,1,0.05876,0.0014277,0.0014277,0.0014277
31,4142.33,0.13795,0.97962,1,0.06438,0.00141945,0.00141945,0.00141945
32,4275.15,0.13009,0.96652,1,0.07065,0.0014112,0.0014112,0.0014112
33,4407.5,nan,0.89811,1,nan,0.00140295,0.00140295,0.00140295
34,4540.43,0.12312,0.89811,1,nan,0.0013947,0.0013947,0.0013947
35,4673.22,0.1206,0.89811,1,nan,0.00138644,0.00138644,0.00138644
36,4805.65,0.12038,0.89811,1,nan,0.00137819,0.00137819,0.00137819
37,4938.48,0.11686,0.89811,1,nan,0.00136994,0.00136994,0.00136994
38,5071.47,0.11684,0.89811,1,nan,0.00136169,0.00136169,0.00136169
39,5204.88,0.12194,0.89811,1,nan,0.00135344,0.00135344,0.00135344
40,5337.36,0.10766,0.89811,1,nan,0.00134519,0.00134519,0.00134519
41,5469.76,0.10172,0.89811,1,nan,0.00133693,0.00133693,0.00133693
42,5601.95,0.12082,0.89811,1,nan,0.00132868,0.00132868,0.00132868
43,5734.86,0.11649,0.89811,1,nan,0.00132043,0.00132043,0.00132043
44,5868.28,0.10543,0.89811,1,nan,0.00131218,0.00131218,0.00131218
45,6001.63,0.10878,0.89811,1,nan,0.00130393,0.00130393,0.00130393
46,6134.29,0.11049,0.89811,1,nan,0.00129568,0.00129568,0.00129568
47,6266.09,0.09541,0.89811,1,nan,0.00128742,0.00128742,0.00128742
48,6398.07,0.10015,0.89811,1,nan,0.00127917,0.00127917,0.00127917
49,6530.15,0.1068,0.89811,1,nan,0.00127092,0.00127092,0.00127092
50,6661.71,0.10617,0.89811,1,nan,0.00126267,0.00126267,0.00126267
51,6793.74,0.09274,0.89811,1,nan,0.00125442,0.00125442,0.00125442
52,6925.2,0.09512,0.89811,1,nan,0.00124617,0.00124617,0.00124617
53,7057.28,0.09348,0.89811,1,nan,0.00123791,0.00123791,0.00123791
54,7189.59,0.09833,0.89811,1,nan,0.00122966,0.00122966,0.00122966
55,7321.11,0.09911,0.89811,1,nan,0.00122141,0.00122141,0.00122141
56,7452.35,0.10263,0.89811,1,nan,0.00121316,0.00121316,0.00121316
57,7584.36,0.09616,0.89811,1,nan,0.00120491,0.00120491,0.00120491
58,7716.4,0.10602,0.89811,1,nan,0.00119666,0.00119666,0.00119666
59,7848.08,0.10271,0.89811,1,nan,0.0011884,0.0011884,0.0011884
60,7981.06,0.08299,0.89811,1,nan,0.00118015,0.00118015,0.00118015
61,8114.96,0.09249,0.89811,1,nan,0.0011719,0.0011719,0.0011719
62,8249.1,0.09591,0.89811,1,nan,0.00116365,0.00116365,0.00116365
63,8382.79,0.09469,0.89811,1,nan,0.0011554,0.0011554,0.0011554
64,8518.03,0.08362,0.89811,1,nan,0.00114715,0.00114715,0.00114715
65,8652.16,0.09168,0.89811,1,nan,0.00113889,0.00113889,0.00113889
66,8784.9,nan,0.89811,1,nan,0.00113064,0.00113064,0.00113064
67,8917.56,0.08908,0.89811,1,nan,0.00112239,0.00112239,0.00112239
68,9050.93,0.09293,0.89811,1,nan,0.00111414,0.00111414,0.00111414
69,9184.26,0.08411,0.89811,1,nan,0.00110589,0.00110589,0.00110589
70,9317.04,0.08279,0.89811,1,nan,0.00109764,0.00109764,0.00109764
