epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,206.343,0.64298,0.77007,1,0.50109,0.00333092,0.00333092,0.00333092
2,406.646,0.49752,0.87563,1,0.30842,0.00663127,0.00663127,0.00663127
3,607.371,0.44861,0.81562,1,0.44217,0.00989861,0.00989861,0.00989861
4,807.429,0.44849,0.83442,1,0.38669,0.0098515,0.0098515,0.0098515
5,1006.67,0.39785,0.85973,1,0.38516,0.009802,0.009802,0.009802
6,1205.92,0.38249,0.87925,1,0.3006,0.0097525,0.0097525,0.0097525
7,1404.24,0.36284,0.87129,1,0.31103,0.009703,0.009703,0.009703
8,1602.38,0.35044,0.88431,1,0.29073,0.0096535,0.0096535,0.0096535
9,1800.74,0.32353,0.88792,1,0.28707,0.009604,0.009604,0.009604
10,1998.53,0.30896,0.86262,1,0.30301,0.0095545,0.0095545,0.0095545
11,2195.98,0.2871,0.88865,1,0.29256,0.009505,0.009505,0.009505
12,2393.73,0.26605,0.89516,1,0.25787,0.0094555,0.0094555,0.0094555
13,2590.86,0.263,0.8966,1,0.25788,0.009406,0.009406,0.009406
14,2788.25,0.2396,0.91468,1,0.22205,0.0093565,0.0093565,0.0093565
15,2985.74,0.23223,0.90889,1,0.23373,0.009307,0.009307,0.009307
16,3183.85,0.22477,0.90456,1,0.22764,0.0092575,0.0092575,0.0092575
17,3382.54,0.20365,0.90528,1,0.24825,0.009208,0.009208,0.009208
18,3581.23,0.19071,0.90456,1,0.23942,0.0091585,0.0091585,0.0091585
19,3779.22,0.18228,0.91902,1,0.20749,0.009109,0.009109,0.009109
20,3977.55,0.16175,0.91106,1,0.22302,0.0090595,0.0090595,0.0090595
21,4175.5,0.15403,0.91179,1,0.22548,0.00901,0.00901,0.00901
22,4373.23,0.13993,0.92263,1,0.1982,0.0089605,0.0089605,0.0089605
23,4570.43,0.12596,0.9154,1,0.21672,0.008911,0.008911,0.008911
24,4768.03,0.12667,0.91179,1,0.22449,0.0088615,0.0088615,0.0088615
25,4965.83,0.1142,0.91685,1,0.2081,0.008812,0.008812,0.008812
26,5163.02,0.11762,0.91251,1,0.21973,0.0087625,0.0087625,0.0087625
27,5360.1,0.11002,0.9248,1,0.19843,0.008713,0.008713,0.008713
28,5558.49,0.09911,0.92625,1,0.21745,0.0086635,0.0086635,0.0086635
29,5756.56,0.09157,0.92336,1,0.22565,0.008614,0.008614,0.008614
30,5954.29,0.08918,0.91902,1,0.24812,0.0085645,0.0085645,0.0085645
31,6152.69,0.0855,0.92769,1,0.21587,0.008515,0.008515,0.008515
32,6350.86,0.07757,0.91829,1,0.25207,0.0084655,0.0084655,0.0084655
33,6548.41,0.0717,0.91323,1,0.27774,0.008416,0.008416,0.008416
34,6746.08,0.08509,0.93059,1,0.19129,0.0083665,0.0083665,0.0083665
35,6943.65,0.06913,0.9248,1,0.22731,0.008317,0.008317,0.008317
36,7140.47,0.07049,0.93059,1,0.20301,0.0082675,0.0082675,0.0082675
37,7337.79,0.06321,0.91974,1,0.25632,0.008218,0.008218,0.008218
38,7535.77,0.0698,0.92625,1,0.22845,0.0081685,0.0081685,0.0081685
39,7733.31,0.06064,0.92191,1,0.25276,0.008119,0.008119,0.008119
40,7931.11,0.06321,0.91902,1,0.23562,0.0080695,0.0080695,0.0080695
41,8128.79,0.04865,0.92336,1,0.24991,0.00802,0.00802,0.00802
42,8327.26,0.04356,0.92336,1,0.29255,0.0079705,0.0079705,0.0079705
43,8525.63,0.05038,0.92625,1,0.2455,0.007921,0.007921,0.007921
44,8723.97,0.03907,0.92842,1,0.34987,0.0078715,0.0078715,0.0078715
45,8922.81,0.04839,0.92914,1,0.24183,0.007822,0.007822,0.007822
46,9120.7,0.05005,0.9248,1,0.26786,0.0077725,0.0077725,0.0077725
47,9319.32,0.04631,0.92769,1,0.27886,0.007723,0.007723,0.007723
48,9518.69,0.03772,0.92408,1,0.26162,0.0076735,0.0076735,0.0076735
49,9716.51,0.04379,0.92552,1,0.28182,0.007624,0.007624,0.007624
50,9914.68,0.03944,0.93275,1,0.27459,0.0075745,0.0075745,0.0075745
51,10112.9,0.03708,0.92263,1,0.28903,0.007525,0.007525,0.007525
52,10310.9,0.0411,0.9154,1,0.32861,0.0074755,0.0074755,0.0074755
53,10509.2,0.04773,0.92986,1,0.24819,0.007426,0.007426,0.007426
54,10708.3,0.03814,0.92842,1,0.24461,0.0073765,0.0073765,0.0073765
55,10905.9,0.04524,0.92336,1,0.27643,0.007327,0.007327,0.007327
56,11104.6,0.03328,0.92914,1,0.29649,0.0072775,0.0072775,0.0072775
57,11303.7,0.03463,0.93131,1,0.25591,0.007228,0.007228,0.007228
58,11502.3,0.03686,0.9342,1,0.26905,0.0071785,0.0071785,0.0071785
59,11701,0.0344,0.93059,1,0.29171,0.007129,0.007129,0.007129
60,11899.6,0.03698,0.92769,1,0.25407,0.0070795,0.0070795,0.0070795
61,12097.8,0.03361,0.91974,1,0.31823,0.00703,0.00703,0.00703
62,12296,0.03125,0.92842,1,0.30134,0.0069805,0.0069805,0.0069805
63,12494.9,0.02314,0.9342,1,0.28213,0.006931,0.006931,0.006931
64,12692.2,0.03574,0.92191,1,0.28953,0.0068815,0.0068815,0.0068815
65,12889.7,0.03477,0.93926,1,0.23177,0.006832,0.006832,0.006832
66,13086.7,0.02668,0.92336,1,0.27175,0.0067825,0.0067825,0.0067825
67,13283.5,0.02895,0.93059,1,0.27081,0.006733,0.006733,0.006733
68,13480.1,0.01921,0.92697,1,0.26791,0.0066835,0.0066835,0.0066835
69,13677.5,0.02706,0.9248,1,0.30293,0.006634,0.006634,0.006634
70,13875,0.02953,0.93203,1,0.28058,0.0065845,0.0065845,0.0065845
71,14070.7,0.02726,0.92263,1,0.27083,0.006535,0.006535,0.006535
72,14259.4,0.02411,0.92842,1,0.29353,0.0064855,0.0064855,0.0064855
73,14447.4,0.02388,0.93275,1,0.27484,0.006436,0.006436,0.006436
74,14635.9,0.02249,0.92914,1,0.29653,0.0063865,0.0063865,0.0063865
75,14824,0.02736,0.93926,1,0.29084,0.006337,0.006337,0.006337
76,15012,0.02161,0.93275,1,0.28955,0.0062875,0.0062875,0.0062875
77,15200,0.02113,0.92408,1,0.29728,0.006238,0.006238,0.006238
78,15388.1,0.01935,0.92914,1,0.29457,0.0061885,0.0061885,0.0061885
79,15576.4,0.02022,0.92625,1,0.30546,0.006139,0.006139,0.006139
80,15764.9,0.01863,0.92408,1,0.30071,0.0060895,0.0060895,0.0060895
81,15953,0.01749,0.93275,1,0.28056,0.00604,0.00604,0.00604
82,16141.3,0.02178,0.93203,1,0.30758,0.0059905,0.0059905,0.0059905
83,16339.1,0.02004,0.93492,1,0.29622,0.005941,0.005941,0.005941
84,16536.4,0.02481,0.93203,1,0.27006,0.0058915,0.0058915,0.0058915
85,16733.6,0.01985,0.93203,1,0.26856,0.005842,0.005842,0.005842
86,16931.1,0.01824,0.93999,1,0.27497,0.0057925,0.0057925,0.0057925
87,17129,0.02007,0.93059,1,0.3075,0.005743,0.005743,0.005743
88,17326.6,0.02296,0.92191,1,0.32139,0.0056935,0.0056935,0.0056935
89,17524.5,0.02179,0.92842,1,0.30938,0.005644,0.005644,0.005644
90,17722.3,0.0171,0.93203,1,0.31262,0.0055945,0.0055945,0.0055945
91,17921.3,0.02145,0.93637,1,0.29102,0.005545,0.005545,0.005545
92,18117.6,0.01931,0.93059,1,0.2883,0.0054955,0.0054955,0.0054955
93,18313.7,0.01743,0.93348,1,0.28215,0.005446,0.005446,0.005446
94,18509.6,0.02046,0.9342,1,0.3017,0.0053965,0.0053965,0.0053965
95,18705.6,0.0214,0.9342,1,0.30101,0.005347,0.005347,0.005347
96,18900.5,0.01355,0.93203,1,0.30145,0.0052975,0.0052975,0.0052975
97,19096,0.016,0.93637,1,0.26185,0.005248,0.005248,0.005248
98,19292.4,0.01505,0.93926,1,0.26688,0.0051985,0.0051985,0.0051985
99,19487.9,0.01279,0.93854,1,0.27243,0.005149,0.005149,0.005149
100,19683.4,0.02223,0.9342,1,0.26879,0.0050995,0.0050995,0.0050995
101,19878.7,0.01841,0.9342,1,0.27807,0.00505,0.00505,0.00505
102,20073.8,0.01126,0.93275,1,0.29762,0.0050005,0.0050005,0.0050005
103,20270.6,0.01457,0.93348,1,0.28844,0.004951,0.004951,0.004951
104,20466,0.01304,0.93637,1,0.29832,0.0049015,0.0049015,0.0049015
105,20661.2,0.00963,0.93565,1,0.33411,0.004852,0.004852,0.004852
106,20851.3,0.01886,0.93492,1,0.33312,0.0048025,0.0048025,0.0048025
107,21038.6,0.01324,0.93203,1,0.33533,0.004753,0.004753,0.004753
108,21230.8,0.01756,0.93203,1,0.33602,0.0047035,0.0047035,0.0047035
109,21428.6,0.00927,0.93131,1,0.31983,0.004654,0.004654,0.004654
110,21624.3,0.01742,0.93275,1,0.33699,0.0046045,0.0046045,0.0046045
111,21820.2,0.01416,0.93203,1,0.32257,0.004555,0.004555,0.004555
112,22016.4,0.01231,0.93275,1,0.34293,0.0045055,0.0045055,0.0045055
113,22212.4,0.01526,0.93131,1,0.34817,0.004456,0.004456,0.004456
114,22407.6,0.0148,0.93203,1,0.33982,0.0044065,0.0044065,0.0044065
115,22602.9,0.01126,0.92986,1,0.32913,0.004357,0.004357,0.004357
116,22798.1,0.01627,0.93348,1,0.33306,0.0043075,0.0043075,0.0043075
117,22987,0.01109,0.93637,1,0.33678,0.004258,0.004258,0.004258
118,23174.3,0.01479,0.93131,1,0.35072,0.0042085,0.0042085,0.0042085
119,23361.3,0.00948,0.92986,1,0.35505,0.004159,0.004159,0.004159
120,23548.7,0.01627,0.92986,1,0.35079,0.0041095,0.0041095,0.0041095
121,23734.7,0.01699,0.92625,1,0.34799,0.00406,0.00406,0.00406
122,23922.4,0.01402,0.92914,1,0.33323,0.0040105,0.0040105,0.0040105
123,24109.4,0.01511,0.9342,1,0.31517,0.003961,0.003961,0.003961
124,24295.9,0.01483,0.9342,1,0.30401,0.0039115,0.0039115,0.0039115
125,24482.7,0.01139,0.93203,1,0.30194,0.003862,0.003862,0.003862
126,24670.2,0.00616,0.93275,1,0.3138,0.0038125,0.0038125,0.0038125
127,24857.1,0.01249,0.93275,1,0.32241,0.003763,0.003763,0.003763
128,25044.2,0.01082,0.93348,1,0.32395,0.0037135,0.0037135,0.0037135
129,25231.1,0.01293,0.93348,1,0.3233,0.003664,0.003664,0.003664
130,25418.7,0.00865,0.93348,1,0.32023,0.0036145,0.0036145,0.0036145
131,25606.1,0.00953,0.9342,1,0.32444,0.003565,0.003565,0.003565
132,25793.7,0.01357,0.93275,1,0.32119,0.0035155,0.0035155,0.0035155
133,25981.3,0.00719,0.93492,1,0.31575,0.003466,0.003466,0.003466
134,26168.9,0.01258,0.93203,1,0.31739,0.0034165,0.0034165,0.0034165
135,26356.2,0.01015,0.92914,1,0.31476,0.003367,0.003367,0.003367
136,26543.6,0.01227,0.92986,1,0.31618,0.0033175,0.0033175,0.0033175
137,26731.7,0.00927,0.92914,1,0.31848,0.003268,0.003268,0.003268
138,26919.3,0.00544,0.92697,1,0.32396,0.0032185,0.0032185,0.0032185
139,27106.9,0.0039,0.92842,1,0.33109,0.003169,0.003169,0.003169
140,27293.4,0.00938,0.92842,1,0.33809,0.0031195,0.0031195,0.0031195
141,27481.1,0.00932,0.92769,1,0.33962,0.00307,0.00307,0.00307
